|CMSNoteID|Title|submitDate|Country|InstCode|Submitter|Nauth|NauthUSA|Sum of Found|Sum of Match|Sum of Not Match|
|CMS AN-2005/007|Missing Transverse Energy in QCD Events at Low Luminosity|2005-06-10 23:02:39.0|USA|PRINCETON|Tully Christopher (PRINCETON)|4|4|4|4|0|Pi Haifeng|UCSD|USA|Avery Paul|FLORIDA-UNIV|USA|Tully Christopher|PRINCETON|USA|Rohlf James|BOSTON-UNIV|USA|
|CMS AN-2005/009|ECAL Barrel Inter-Calibration with Isolated Electrons|2005-06-11 20:20:55.0|Greece|DEMOKRITOS|Daskalakis Georgios (DEMOKRITOS)|5|1|5|5|0|Agostino Lorenzo|CORNELL|USA|Daskalakis Georgios|DEMOKRITOS|Greece|Govoni Pietro|MILANO-BICOCCA|Italy|Malgeri Luca|CERN|Switzerland|Paganoni Marco|MILANO-BICOCCA|Italy|
|CMS AN-2005/011|Reconstruction of Electron Tracks Using Gaussian Sum Filter in CMS|2005-06-11 22:05:11.0|France|POLYTECHNIQUE|Sirois Yves (POLYTECHNIQUE)|3|0|3|3|0|Charlot Claude|POLYTECHNIQUE|France|Rovelli Chiara|ROMA-1|Italy|Sirois Yves|POLYTECHNIQUE|France|
|CMS AN-2005/014|300, 350 and 500 GeV/c^2 mass Higgs boson production via Weak Boson Fusion|2005-06-23 15:21:07.0|USA|IOWA|Mestvirishvili Alexi (IOWA)|7|6|7|7|0|Akgun Ugur|IOWA|USA|Ayan Ahmet Sedat|IOWA|USA|Duru Firdevs|IOWA|USA|Mestvirishvili Alexi|IOWA|USA|Norbeck Edwin|IOWA|USA|Onel Yasar|IOWA|USA|Wang Siguang|PEKING-UNIV|China|
|CMS AN-2005/020|Alignment of the Cosmic Rack with the HIP Algorithm|2005-09-11 00:00:00.0|Finland|HELSINKI-HIP|Lampén Tapio (HELSINKI-HIP)|4|0|4|1|3|Buchmuller Oliver|LONDON-IC|United Kingdom|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|
|CMS AN-2005/022|Vertex Fitting in the CMS Tracker|2005-09-12 00:00:00.0|USA|BROWN-UNIV|Speer Thomas (BROWN-UNIV)|5|1|5|4|1|Speer Thomas|BROWN-UNIV|USA|Fruhwirth Rudolf|HEPHY|Austria|Waltenberger Wolfgang|HEPHY|Austria|Vanlaer Pascal|BRUXELLES-ULB|Belgium|#not_found#|#not_found#|#not_found#|
|CMS AN-2005/024|Electron and muon reconstruction in single leptonic ttbar events|2005-09-12 00:00:00.0|Belgium|BRUSSEL-VUB|D'Hondt Jorgen (BRUSSEL-VUB)|3|0|3|2|1|D'Hondt Jorgen|BRUSSEL-VUB|Belgium|Lowette Steven|BRUSSEL-VUB|Belgium|#not_found#|#not_found#|#not_found#|
|CMS AN-2005/025|Fitting of Event Topologies with External Kinematic Constraints in CMS|2005-11-16 00:00:00.0|United Kingdom|LONDON-IC|Buchmuller Oliver (LONDON-IC)|9|2|9|6|3|D'Hondt Jorgen|BRUSSEL-VUB|Belgium|Lowette Steven|BRUSSEL-VUB|Belgium|Buchmuller Oliver|LONDON-IC|United Kingdom|Spiropulu Maria|CALTECH|USA|Paktinat Mehdiabadi Saeid|IPM|Iran|Benedetti Daniele|PURDUE|USA|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|
|CMS AN-2005/026|Standard Model Higgs Discovery Potential of CMS in the H->WW->lnln Channel|2005-10-11 00:00:00.0|Switzerland|CERN|Giolo-Nicollerat Anne-Sylvie (CERN)|3|0|3|1|2|Dittmar Michael|ZURICH-ETH|Switzerland|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|
|CMS AN-2005/027|Light quark jet energy scale calibration using the W mass constraint in single-leptonic ttbar events|2005-01-12 00:00:00.0|Belgium|BRUSSEL-VUB|D'Hondt Jorgen (BRUSSEL-VUB)|4|0|4|1|3|Lowette Steven|BRUSSEL-VUB|Belgium|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|#not_found#|
|CMS AN-2005/028|Search for the Standard Model Higgs Boson in the Two-Electron and Two-Muon Final State with CMS|2005-10-20 00:00:00.0|United Kingdom|LONDON-IC|Futyan David (LONDON-IC)|2|0|2|0|2|D. Futyan|#not_found#|#not_found#|D. Giordano|#not_found#|#not_found#|
|CMS AN-2005/029|Study of associated WH production with H->WW(*) in the 3 leptons final state|2005-09-01 00:00:00.0|Belgium|LOUVAIN|Delaere Christophe (LOUVAIN)|1|0|1|1|0|Delaere Christophe|LOUVAIN|Belgium|
|CMS AN-2005/030|Offline Calibration of b-jet Identification Efficiencies|2005-10-23 00:00:00.0|Belgium|BRUSSEL-VUB|Lowette Steven (BRUSSEL-VUB)|3|0|3|2|1|Lowette Steven|BRUSSEL-VUB|Belgium|Vanlaer Pascal|BRUXELLES-ULB|Belgium|#not_found#|#not_found#|#not_found#|
