Analysis code | Status | Samples | ARC chair from USA | ARC chair from LPC | ARC chair from LPC NEW | Cadi contact from US | Cadi contact LPC | Cadi contact LPC NEW | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of ARC members from LPC NEW | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # of AN submitters from LPC NEW | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of  AN authors from LPC NEW | # AN authors LPC fellows | ARC chairs LPC fellow | # ARC members LPC fellows  | # of institutes | # in institutes from USA | # of institutes from LPC | # of institutes from LPC NEW
B2G-12-001 | Free | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-002 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
B2G-12-003 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 1 | 4 | 3 | 3 | 0 | 1 | 1 | 1 | 1 | 9 | 4 | 4 | 3 | 0 | 0 | 0 | 5 | 2 | 2 | 2
B2G-12-004 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 2 | 2 | 0 | 1 | 1 | 1 | 1 | 7 | 4 | 4 | 1 | 1 | 0 | 0 | 7 | 4 | 4 | 1
B2G-12-005 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 4 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 9 | 9 | 9 | 7 | 2 | 0 | 0 | 5 | 5 | 5 | 4
B2G-12-006 | PAS-only-PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 0 | 4 | 3 | 1 | 1 | 2 | 1 | 1 | 0 | 14 | 4 | 4 | 1 | 0 | 0 | 1 | 7 | 1 | 1 | 1
B2G-12-007 | PAS-only-PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 1 | 4 | 2 | 0 | 0 | 1 | 1 | 1 | 0 | 4 | 3 | 3 | 1 | 0 | 0 | 0 | 2 | 1 | 1 | 1
B2G-12-008 | PAS-only-PUB | Run1 | 1 | 0 | 1 | 1 | 1 | 0 | 4 | 3 | 2 | 2 | 1 | 1 | 1 | 0 | 3 | 3 | 3 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1
B2G-12-009 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 1 | 5 | 3 | 3 | 2 | 2 | 2 | 2 | 2 | 10 | 8 | 8 | 7 | 2 | 0 | 0 | 7 | 5 | 5 | 5
B2G-12-010 | PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 1 | 5 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 9 | 9 | 9 | 7 | 1 | 0 | 0 | 4 | 4 | 4 | 3
B2G-12-011 | Free | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-012 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 1 | 5 | 4 | 3 | 1 | 1 | 1 | 1 | 1 | 6 | 5 | 5 | 3 | 0 | 0 | 0 | 4 | 3 | 3 | 2
B2G-12-013 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 5 | 3 | 3 | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 1
B2G-12-014 | PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 5 | 3 | 2 | 1 | 1 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0
B2G-12-015 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 1 | 5 | 3 | 3 | 2 | 2 | 2 | 2 | 0 | 18 | 14 | 14 | 7 | 2 | 0 | 0 | 6 | 4 | 4 | 3
B2G-12-016 | CWR-ended | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 14 | 6 | 6 | 5 | 0 | 0 | 0 | 9 | 3 | 3 | 3
B2G-12-017 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 2 | 2 | 2 | 1 | 1 | 1 | 1 | 15 | 9 | 9 | 7 | 2 | 0 | 1 | 11 | 5 | 5 | 5
B2G-12-018 | Inactive | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-019 | PAS-only-PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 1 | 4 | 3 | 1 | 0 | 1 | 1 | 1 | 1 | 9 | 5 | 5 | 5 | 2 | 0 | 0 | 8 | 4 | 4 | 4
B2G-12-020 | PAS-only-PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 4 | 4 | 4 | 3 | 1 | 0 | 0 | 0 | 5 | 1 | 0 | 1 | 0 | 0 | 1 | 4 | 1 | 0 | 1
B2G-12-021 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 5 | 1 | 1 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 0
B2G-12-022 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 5 | 3 | 3 | 2 | 1 | 1 | 1 | 0 | 5 | 3 | 3 | 1 | 1 | 0 | 0 | 4 | 3 | 3 | 1
B2G-12-023 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 2 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
B2G-12-024 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 5 | 2 | 2 | 0 | 1 | 1 | 1 | 1 | 7 | 4 | 4 | 3 | 0 | 0 | 0 | 4 | 2 | 2 | 1
B2G-12-025 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 3 | 2 | 1 | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0
B2G-13-001 | PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 4 | 1 | 1 | 4 | 3 | 3 | 2 | 46 | 26 | 26 | 16 | 4 | 0 | 0 | 12 | 6 | 6 | 5
B2G-13-002 | SUPERSEDED | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0
B2G-13-003 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 2 | 1 | 1 | 3 | 2 | 2 | 0 | 48 | 39 | 39 | 12 | 3 | 0 | 1 | 7 | 4 | 4 | 1
B2G-13-004 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
B2G-13-005 | PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 4 | 3 | 3 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0
B2G-13-006 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 2 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
B2G-13-007 | Inactive | Run1 | 1 | 1 | 0 | 0 | 0 | 1 | 4 | 2 | 2 | 0 | 3 | 0 | 0 | 0 | 14 | 2 | 0 | 0 | 0 | 0 | 0 | 5 | 1 | 0 | 0
B2G-13-008 | PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 5 | 4 | 3 | 2 | 3 | 3 | 3 | 3 | 21 | 12 | 12 | 9 | 4 | 0 | 0 | 9 | 6 | 6 | 5
B2G-14-001 | PAS-only-PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 4 | 2 | 2 | 1 | 1 | 1 | 1 | 0 | 4 | 1 | 1 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 0
B2G-14-002 | PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 5 | 4 | 4 | 1 | 1 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0 | 0
B2G-14-003 | PAS-only-PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 4 | 3 | 3 | 1 | 1 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 1 | 1 | 4 | 0 | 0 | 0
B2G-14-004 | PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 5 | 4 | 4 | 1 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
B2G-14-005 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 1 | 0 | 4 | 3 | 2 | 3 | 17 | 5 | 4 | 5 | 0 | 0 | 0 | 7 | 3 | 2 | 3
B2G-14-006 | Inactive | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
B2G-14-007 | SUPERSEDED | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 4 | 2 | 2 | 3 | 1 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0
B2G-15-001 | PAS-only-PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 4 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
B2G-15-002 | PAS-only-PUB | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 9 | 3 | 3 | 2 | 0 | 0 | 0 | 4 | 1 | 1 | 1
B2G-15-003 | PAS-only-PUB | Run2 | 1 | 0 | 0 | 1 | 1 | 0 | 4 | 2 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
B2G-15-004 | PAS-only-PUB | Run2 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 7 | 4 | 4 | 4 | 0 | 0 | 0 | 3 | 2 | 2 | 2
B2G-15-005 | SUPERSEDED | Run2 | 1 | 1 | 1 | 0 | 0 | 0 | 4 | 3 | 2 | 1 | 2 | 1 | 1 | 0 | 44 | 25 | 14 | 11 | 4 | 0 | 0 | 14 | 6 | 5 | 5
B2G-15-006 | CWR-ended | Run2 | 0 | 0 | 0 | 1 | 1 | 1 | 5 | 1 | 1 | 2 | 4 | 4 | 4 | 4 | 29 | 29 | 29 | 28 | 2 | 0 | 1 | 2 | 2 | 2 | 2
B2G-15-007 | PAS-only-PUB | Run2 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 25 | 18 | 9 | 5 | 2 | 0 | 1 | 7 | 3 | 2 | 2
B2G-15-008 | ReSubmitted | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0
B2G-16-001 | RefComments | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0
B2G-16-002 | PAS-only-PUB | Run2 | 1 | 1 | 1 | 1 | 1 | 1 | 4 | 2 | 2 | 2 | 1 | 1 | 1 | 1 | 7 | 7 | 7 | 7 | 1 | 0 | 0 | 2 | 2 | 2 | 2
B2G-16-003 | ACCEPT | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 16 | 1 | 0 | 0 | 0 | 0 | 0 | 7 | 1 | 0 | 0
B2G-16-004 | RefComments | Run2 | 1 | 1 | 0 | 0 | 0 | 0 | 5 | 4 | 3 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0
B2G-16-005 | RefComments | Run2 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 2 | 2 | 2 | 1 | 1 | 1 | 0 | 8 | 8 | 8 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0
B2G-16-006 | RefComments | Run2 | 1 | 1 | 1 | 1 | 1 | 0 | 5 | 2 | 2 | 1 | 1 | 1 | 1 | 1 | 3 | 1 | 1 | 1 | 0 | 0 | 0 | 3 | 1 | 1 | 1
B2G-16-007 | CWR-ended | Run2 | 1 | 0 | 1 | 0 | 0 | 0 | 4 | 3 | 2 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0
B2G-16-008 | PAS-only-PUB | Run2 | 1 | 1 | 1 | 1 | 1 | 0 | 4 | 1 | 1 | 1 | 3 | 1 | 1 | 0 | 24 | 8 | 8 | 5 | 1 | 0 | 0 | 11 | 4 | 4 | 3
B2G-16-009 | PAS-only-PUB | Run2 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 4 | 3 | 3 | 3 | 0 | 0 | 1 | 3 | 2 | 2 | 2
B2G-16-010 | PAS-only-PUB | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 3 | 3 | 3 | 2 | 0 | 0 | 0 | 7 | 0 | 0 | 0 | 0 | 0 | 1 | 5 | 0 | 0 | 0
B2G-16-011 | PAS-only-PUB | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 6 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0
B2G-16-012 | AWG | Run2 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 3 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0
B2G-16-013 | FinalReading | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 3 | 3 | 3 | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0
B2G-16-014 | ARC-GreenLight | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
B2G-16-015 | CWR-ended | Run1 | 1 | 0 | 0 | 1 | 1 | 1 | 4 | 2 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
B2G-16-016 | CWR-ended | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 2 | 2 | 0 | 1 | 1 | 1 | 1 | 10 | 7 | 7 | 7 | 0 | 0 | 0 | 5 | 4 | 4 | 4
B2G-16-017 | PAS-only-PUB | Run2 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 7 | 4 | 4 | 4 | 0 | 0 | 0 | 3 | 2 | 2 | 2
B2G-16-018 | AWG | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 8 | 2 | 2 | 1 | 0 | 0 | 0 | 4 | 1 | 1 | 1
B2G-16-019 | ARC-GreenLight | Run2 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 7 | 7 | 7 | 7 | 0 | 0 | 1 | 2 | 2 | 2 | 2
B2G-16-020 | PAS-only-PUB | Run2 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 3 | 2 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
B2G-16-021 | PAS-only-PUB | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
B2G-16-022 | PAS-only-PUB | Run2 | 1 | 1 | 1 | 0 | 0 | 0 | 4 | 3 | 2 | 1 | 2 | 0 | 0 | 0 | 55 | 19 | 18 | 9 | 0 | 0 | 0 | 20 | 7 | 6 | 3
B2G-16-023 | PRE-APP | Run2 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 15 | 11 | 11 | 1 | 0 | 0 | 0 | 5 | 3 | 3 | 1
B2G-16-024 | PUB-Draft | Run2 | 1 | 1 | 1 | 1 | 1 | 1 | 5 | 2 | 2 | 2 | 3 | 2 | 2 | 2 | 18 | 10 | 10 | 10 | 4 | 0 | 0 | 3 | 2 | 2 | 2
B2G-16-025 | PRE-APP | Run2 | 1 | 1 | 1 | 0 | 0 | 0 | 4 | 3 | 2 | 1 | 1 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
B2G-16-026 | PRE-APP | Run2 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 20 | 7 | 7 | 4 | 1 | 0 | 0 | 10 | 5 | 5 | 3
B2G-16-027 | AWG | Run2 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
B2G-16-028 | AWG | Run2 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-16-029 | GoingToPreApp | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 1 | 2 | 1 | 0 | 0 | 5 | 1 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0
B2G-17-001 | PRE-APP | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 6 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0
B2G-17-002 | ARC-GreenLight | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 3 | 1 | 0 | 0 | 0 | 11 | 5 | 5 | 4 | 1 | 0 | 1 | 6 | 4 | 4 | 3
B2G-17-003 | PRE-APP | Run2 | 1 | 1 | 1 | 1 | 1 | 1 | 4 | 2 | 2 | 1 | 1 | 1 | 1 | 1 | 15 | 7 | 7 | 7 | 0 | 0 | 0 | 7 | 3 | 3 | 3
B2G-17-004 | AWG | Run2 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
B2G-17-005 | AWG | Run2 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 5 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 1
B2G-17-006 | GoingToPreApp | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 6 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0
B2G-17-007 | ARC-GreenLight | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
B2G-17-008 | GoingToPreApp | Run2 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 6 | 6 | 6 | 6 | 1 | 0 | 0 | 2 | 2 | 2 | 2
B2G-17-009 | AWG | Run2 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-17-010 | PRE-APP | Run2 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 2 | 2 | 0 | 1 | 1 | 1 | 1 | 6 | 3 | 3 | 3 | 0 | 0 | 0 | 3 | 2 | 2 | 2
B2G-17-011 | GoingToPreApp | Run2 | - | - | - | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 2 | 17 | 17 | 17 | 16 | 3 | 0 | 0 | 3 | 3 | 3 | 3
B2G-17-012 | AWG | Run2 | - | - | - | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 7 | 5 | 5 | 4 | 0 | 0 | 0 | 5 | 3 | 3 | 3
BPH-07-001 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0
BPH-07-002 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 0
BPH-07-003 | Completed | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
BPH-07-004 | SUPERSEDED | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
BPH-08-001 | Completed | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-002 | SUPERSEDED | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-003 | Thesis-Approved | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-004 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-005 | Completed | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-006 | SUPERSEDED | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-007 | Completed | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-008 | Completed | Run1 | - | - | - | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-009 | Completed | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-010 | Completed | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-011 | Completed | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-001 | PAS-only-PUB | Run1 | 1 | 0 | 1 | 1 | 1 | 0 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 0
BPH-09-002 | Completed | Run1 | 1 | 0 | 1 | 0 | 0 | 0 | 3 | 3 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-003 | Completed | Run1 | 1 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-004 | Completed | Run1 | 1 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-005 | Completed | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-006 | Completed | Run1 | - | - | - | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-007 | Completed | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-09-008 | Completed | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-10-001 | Thesis-Approved | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-10-002 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 69 | 43 | 30 | 18 | 1 | 0 | 0 | 29 | 16 | 12 | 10
BPH-10-003 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
