Analysis code | Status | Samples | ARC chair from USA | ARC chair from LPC | ARC chair from LPC NEW | Cadi contact from US | Cadi contact LPC | Cadi contact LPC NEW | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of ARC members from LPC NEW | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # of AN submitters from LPC NEW | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of  AN authors from LPC NEW | # AN authors LPC fellows | ARC chairs LPC fellow | # ARC members LPC fellows  | # of institutes | # in institutes from USA | # of institutes from LPC | # of institutes from LPC NEW
TOP-16-011 | PAS-only-PUB | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 8 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
TOP-16-012 | AWG | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-16-013 | PAS-only-PUB | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0
TOP-16-014 | AWG | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 11 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
TOP-16-015 | PAS-only-PUB | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0
TOP-16-016 | SUB | Run2 | 1 | 1 | 1 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 2 | 1 | 0 | 0 | 15 | 5 | 0 | 0 | 0 | 0 | 0 | 5 | 1 | 0 | 0
TOP-16-017 | PAS-only-PUB | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0 | 3 | 1 | 0 | 0 | 12 | 1 | 0 | 1 | 1 | 0 | 0 | 5 | 1 | 0 | 1
TOP-16-018 | PRE-APP | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 2 | 2 | 2 | 0 | 0 | 0 | 1 | 1 | 1 | 1
TOP-16-019 | PAS-only-PUB | Run2 | 1 | 0 | 0 | 1 | 1 | 0 | 4 | 3 | 2 | 1 | 1 | 1 | 1 | 0 | 3 | 2 | 2 | 1 | 0 | 0 | 0 | 2 | 1 | 1 | 1
TOP-16-020 | PRE-APP | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 3 | 0 | 0 | 0 | 15 | 0 | 0 | 0 | 0 | 0 | 0 | 7 | 0 | 0 | 0
TOP-16-021 | PAS-only-PUB | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 1 | 2 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0
TOP-16-022 | PHYS-APP | Run2 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 6 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
