Analysis code | Status | ARC chair from USA | ARC chair from LPC | Cadi contact from US | Cadi contact LPC | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of institutes | # in institutes from USA | # of institutes from LPC
TOP-11-006 | PUB | 1 | 1 | 0 | 0 | 4 | 3 | 3 | 2 | 0 | 0 | 12 | 0 | 0 | 5 | 0 | 0
TOP-11-007 | PUB | 1 | 0 | 0 | 0 | 5 | 4 | 2 | 2 | 0 | 0 | 6 | 0 | 0 | 3 | 0 | 0
TOP-11-008 | PAS-only-PUB | 1 | 1 | 1 | 0 | 3 | 2 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
TOP-11-009 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 7 | 0 | 0 | 4 | 0 | 0
TOP-11-010 | PUB | 1 | 0 | 1 | 1 | 4 | 2 | 0 | 1 | 1 | 1 | 2 | 2 | 2 | 2 | 1 | 1
TOP-11-011 | Completed | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-11-012 | Completed | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-11-013 | PUB | 0 | 0 | 0 | 0 | 5 | 2 | 0 | 5 | 0 | 0 | 34 | 0 | 0 | 7 | 0 | 0
TOP-11-014 | PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 7 | 0 | 0 | 3 | 0 | 0
TOP-11-015 | PUB | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 2 | 0 | 0 | 6 | 0 | 0 | 3 | 0 | 0
TOP-11-016 | PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 3 | 1 | 1 | 13 | 3 | 3 | 6 | 1 | 1
TOP-11-017 | PUB | 1 | 1 | 0 | 0 | 5 | 2 | 2 | 1 | 0 | 0 | 4 | 0 | 0 | 3 | 0 | 0
TOP-11-018 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-11-019 | PUB | 1 | 1 | 0 | 0 | 5 | 4 | 4 | 1 | 0 | 0 | 3 | 0 | 0 | 3 | 0 | 0
TOP-11-020 | PUB | 1 | 1 | 0 | 0 | 4 | 4 | 4 | 2 | 0 | 0 | 9 | 0 | 0 | 4 | 0 | 0
TOP-11-021 | PUB | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 4 | 0 | 0 | 29 | 0 | 0 | 10 | 0 | 0
TOP-11-022 | PUB | 1 | 1 | 0 | 0 | 5 | 4 | 2 | 4 | 3 | 3 | 11 | 4 | 4 | 8 | 4 | 4
TOP-11-023 | SUPERSEDED | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-11-024 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 2 | 2 | 1 | 0 | 0 | 6 | 1 | 0 | 4 | 1 | 0
TOP-11-025 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-11-026 | SUPERSEDED | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-11-027 | PUB | 1 | 0 | 1 | 1 | 4 | 4 | 3 | 1 | 1 | 1 | 7 | 7 | 7 | 3 | 3 | 3
TOP-11-028 | PUB | 1 | 0 | 0 | 0 | 5 | 2 | 0 | 2 | 1 | 1 | 4 | 3 | 3 | 2 | 1 | 1
TOP-11-029 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 3 | 3 | 1 | 0 | 0 | 5 | 0 | 0 | 4 | 0 | 0
TOP-11-030 | PUB | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 6 | 0 | 0 | 3 | 0 | 0
TOP-11-031 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0
TOP-12-001 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-12-002 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-12-003 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-12-004 | PAS-only-PUB | 1 | 1 | 1 | 1 | 4 | 4 | 3 | 3 | 1 | 1 | 30 | 23 | 22 | 7 | 5 | 4
TOP-12-005 | SUPERSEDED | 0 | 0 | 1 | 1 | 4 | 1 | 1 | 1 | 1 | 1 | 6 | 4 | 4 | 4 | 3 | 3
TOP-12-006 | PUB | 0 | 0 | 0 | 0 | 5 | 3 | 1 | 4 | 0 | 0 | 25 | 0 | 0 | 5 | 0 | 0
TOP-12-007 | PUB | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 2 | 0 | 0 | 34 | 0 | 0 | 6 | 0 | 0
TOP-12-008 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-12-009 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-12-010 | PUB | 1 | 0 | 1 | 1 | 6 | 5 | 2 | 2 | 1 | 1 | 35 | 23 | 22 | 9 | 5 | 4
TOP-12-011 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 1 | 0 | 0 | 14 | 0 | 0 | 7 | 0 | 0
TOP-12-012 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-12-013 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-12-014 | PUB | 0 | 0 | 0 | 0 | 5 | 1 | 0 | 1 | 0 | 0 | 4 | 1 | 1 | 4 | 1 | 1
TOP-12-015 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 5 | 0 | 0 | 3 | 0 | 0
TOP-12-016 | PAS-only-PUB | 1 | 1 | 1 | 1 | 4 | 2 | 2 | 1 | 1 | 1 | 25 | 22 | 21 | 5 | 4 | 3
TOP-12-017 | PUB | 0 | 0 | 1 | 1 | 5 | 4 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-12-018 | PUB | 1 | 1 | 0 | 0 | 4 | 3 | 1 | 3 | 1 | 1 | 13 | 2 | 2 | 5 | 1 | 1
TOP-12-019 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 2 | 0 | 0 | 11 | 0 | 0 | 4 | 0 | 0
TOP-12-020 | PUB | 0 | 0 | 0 | 0 | 5 | 1 | 1 | 3 | 0 | 0 | 43 | 1 | 1 | 12 | 1 | 1
TOP-12-021 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 1 | 0 | 0 | 7 | 1 | 1 | 3 | 1 | 1
TOP-12-022 | PUB | 0 | 0 | 0 | 0 | 4 | 2 | 2 | 2 | 0 | 0 | 6 | 0 | 0 | 2 | 0 | 0
TOP-12-023 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
TOP-12-024 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 6 | 0 | 0 | 4 | 0 | 0
TOP-12-025 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-12-026 | PUB | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 1 | 0 | 0 | 7 | 0 | 0 | 4 | 0 | 0
TOP-12-027 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 3 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
TOP-12-028 | PUB | 0 | 0 | 0 | 0 | 5 | 2 | 1 | 4 | 0 | 0 | 21 | 0 | 0 | 4 | 0 | 0
TOP-12-029 | PAS-only-PUB | 1 | 1 | 1 | 0 | 4 | 2 | 2 | 1 | 0 | 0 | 6 | 0 | 0 | 4 | 0 | 0
TOP-12-030 | PUB | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 2 | 1 | 1 | 7 | 1 | 1 | 3 | 1 | 1
TOP-12-031 | RefComments | 0 | 0 | 0 | 0 | 5 | 2 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 3 | 0 | 0
TOP-12-032 | SUPERSEDED | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-12-033 | PUB | 1 | 1 | 0 | 0 | 5 | 3 | 3 | 1 | 0 | 0 | 5 | 0 | 0 | 3 | 0 | 0
TOP-12-034 | Inactive | - | - | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-12-035 | PUB | 1 | 1 | 0 | 0 | 5 | 4 | 3 | 3 | 0 | 0 | 13 | 1 | 1 | 5 | 1 | 1
TOP-12-036 | PUB | 0 | 0 | 0 | 0 | 5 | 2 | 0 | 4 | 3 | 3 | 36 | 29 | 28 | 7 | 5 | 4
TOP-12-037 | PUB | 0 | 0 | 0 | 0 | 5 | 2 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 3 | 0 | 0
TOP-12-038 | PUB | 0 | 0 | 0 | 0 | 5 | 2 | 1 | 2 | 0 | 0 | 12 | 0 | 0 | 6 | 0 | 0
TOP-12-039 | SUB | 0 | 0 | 0 | 0 | 5 | 4 | 3 | 3 | 0 | 0 | 15 | 0 | 0 | 7 | 0 | 0
TOP-12-040 | PUB | 1 | 1 | 1 | 1 | 5 | 2 | 2 | 2 | 1 | 1 | 4 | 1 | 1 | 3 | 1 | 1
TOP-12-041 | PUB | 1 | 1 | 0 | 0 | 5 | 5 | 4 | 4 | 0 | 0 | 28 | 0 | 0 | 5 | 0 | 0
TOP-12-042 | ACCEPT | 0 | 0 | 0 | 0 | 4 | 3 | 3 | 2 | 0 | 0 | 12 | 0 | 0 | 3 | 0 | 0
TOP-13-001 | ACCEPT | 0 | 0 | 0 | 0 | 5 | 1 | 1 | 2 | 0 | 0 | 23 | 0 | 0 | 8 | 0 | 0
TOP-13-002 | PAS-only-PUB | 0 | 0 | 1 | 0 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-13-003 | PUB | 1 | 1 | 1 | 1 | 4 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-13-004 | PUB | 0 | 0 | 0 | 0 | 5 | 1 | 0 | 1 | 0 | 0 | 14 | 1 | 1 | 7 | 1 | 1
TOP-13-005 | PAS-only-PUB | 0 | 0 | 1 | 0 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-13-006 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
TOP-13-007 | PAS-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 4 | 1 | 0 | 13 | 2 | 1 | 6 | 2 | 1
TOP-13-008 | PUB | 1 | 1 | 0 | 0 | 4 | 3 | 3 | 1 | 0 | 0 | 5 | 0 | 0 | 2 | 0 | 0
TOP-13-009 | PUB | 1 | 1 | 0 | 0 | 5 | 2 | 1 | 3 | 0 | 0 | 16 | 0 | 0 | 4 | 0 | 0
TOP-13-010 | PUB | 1 | 1 | 0 | 0 | 5 | 2 | 1 | 1 | 0 | 0 | 6 | 0 | 0 | 4 | 0 | 0
TOP-13-011 | PAS-only-PUB | 1 | 0 | 0 | 0 | 4 | 2 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0
TOP-13-012 | PUB | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
TOP-13-013 | PUB | 1 | 1 | 1 | 1 | 5 | 3 | 2 | 1 | 1 | 1 | 2 | 2 | 2 | 1 | 1 | 1
