Analysis code | Status | ARC chair from USA | ARC chair from LPC | Cadi contact from US | Cadi contact LPC | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of institutes | # in institutes from USA | # of institutes from LPC
TOP-15-018 | AWG | - | - | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 2 | 1 | 1 | 1
TOP-15-019 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-16-001 | ACCEPT | 1 | 1 | 0 | 0 | 5 | 3 | 2 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0
TOP-16-002 | PAS-only-PUB | 1 | 0 | 1 | 1 | 4 | 2 | 1 | 1 | 1 | 1 | 4 | 2 | 2 | 3 | 2 | 2
TOP-16-003 | ACCEPT | 1 | 1 | 0 | 0 | 5 | 2 | 2 | 2 | 0 | 0 | 14 | 0 | 0 | 6 | 0 | 0
TOP-16-004 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 2 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0
TOP-16-005 | ACCEPT | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 3 | 0 | 0 | 15 | 0 | 0 | 3 | 0 | 0
TOP-16-006 | SUB | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 0 | 0 | 4 | 0 | 0 | 3 | 0 | 0
TOP-16-007 | ReadyForCWR | 0 | 0 | 0 | 0 | 5 | 2 | 1 | 2 | 0 | 0 | 16 | 0 | 0 | 7 | 0 | 0
TOP-16-008 | ACCEPT | 0 | 0 | 1 | 1 | 5 | 2 | 2 | 1 | 1 | 1 | 6 | 6 | 6 | 1 | 1 | 1
TOP-16-009 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 2 | 1 | 0 | 6 | 0 | 0 | 4 | 0 | 0
TOP-16-010 | CWR-ended | 0 | 0 | 0 | 0 | 5 | 1 | 1 | 1 | 0 | 0 | 8 | 0 | 0 | 4 | 0 | 0
TOP-16-011 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0 | 9 | 0 | 0 | 2 | 0 | 0
TOP-16-012 | AWG | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TOP-16-013 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0
TOP-16-014 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 11 | 0 | 0 | 2 | 0 | 0
TOP-16-015 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0 | 6 | 0 | 0 | 3 | 0 | 0
TOP-16-016 | SUB | 1 | 1 | 0 | 0 | 5 | 2 | 2 | 2 | 1 | 0 | 14 | 5 | 0 | 5 | 1 | 0
TOP-16-017 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 3 | 1 | 0 | 12 | 1 | 0 | 5 | 1 | 0
TOP-16-018 | PRE-APP | 0 | 0 | 1 | 1 | 4 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 2 | 1 | 1 | 1
TOP-16-019 | PAS-only-PUB | 1 | 0 | 1 | 1 | 4 | 3 | 2 | 1 | 1 | 1 | 3 | 2 | 2 | 2 | 1 | 1
TOP-16-020 | PRE-APP | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 3 | 0 | 0 | 14 | 0 | 0 | 7 | 0 | 0
TOP-16-021 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 2 | 0 | 0 | 5 | 0 | 0 | 4 | 0 | 0
TOP-16-022 | PHYS-APP | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0 | 6 | 0 | 0 | 2 | 0 | 0
TOP-16-023 | PRE-APP | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 3 | 0 | 0 | 17 | 0 | 0 | 5 | 0 | 0
TOP-17-001 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 15 | 0 | 0 | 4 | 0 | 0
TOP-17-002 | AWG | - | - | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 3 | 2 | 2 | 2 | 1 | 1
TOP-17-003 | PRE-APP | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 2 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0
TOP-17-004 | AWG | - | - | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 6 | 6 | 6 | 1 | 1 | 1
TOP-17-005 | PRE-APP | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 4 | 2 | 0 | 20 | 3 | 0 | 6 | 2 | 0
TOP-17-006 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TRG-12-001 | PUB | 1 | 0 | 1 | 1 | 5 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TRK-09-001 | AWG | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TRK-10-001 | PUB | 1 | 1 | 1 | 1 | 3 | 2 | 2 | 4 | 2 | 1 | 19 | 4 | 4 | 9 | 4 | 4
TRK-10-002 | PAS-only-PUB | 0 | 0 | 1 | 1 | 4 | 2 | 1 | 4 | 2 | 2 | 11 | 7 | 7 | 8 | 5 | 5
TRK-10-003 | PAS-only-PUB | 1 | 1 | 0 | 0 | 4 | 1 | 1 | 3 | 2 | 0 | 16 | 3 | 2 | 5 | 3 | 2
TRK-10-004 | PAS-only-PUB | 1 | 1 | 0 | 0 | 3 | 3 | 2 | 4 | 3 | 3 | 46 | 22 | 12 | 18 | 10 | 9
TRK-10-005 | PAS-only-PUB | 0 | 0 | 1 | 1 | 4 | 1 | 1 | 5 | 1 | 1 | 7 | 1 | 1 | 5 | 1 | 1
TRK-11-001 | PUB | 0 | 0 | 0 | 0 | 5 | 3 | 3 | 1 | 0 | 0 | 19 | 8 | 8 | 13 | 4 | 4
TRK-11-002 | PUB | 1 | 1 | 0 | 0 | 5 | 2 | 2 | 2 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
TRK-11-003 | Inactive | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TRK-13-001 | Free | - | - | 1 | 1 | 0 | 0 | 0 | 5 | 1 | 0 | 10 | 2 | 1 | 8 | 2 | 1
TRK-15-001 | Free | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TRK-15-002 | ReSubmitted | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
TRK-17-001 | Free | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Analysis code | Status | ARC chair from USA | ARC chair from LPC | Cadi contact from US | Cadi contact LPC | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of institutes | # in institutes from USA | # of institutes from LPC
TOTAL |  | 735 | 593 | 834 | 674 | 6450 | 3152 | 2499 | 2484 | 1052 | 833 | 22308 | 9827 | 8172 | 8931 | 3493 | 2872
