Code | Status | Samples | Name | Date | CADI Contact | CADI Contact Institute | CADI Contact Country | ARC Chair | ARC Chair Institute | ARC Chair Country | ARC Member 1 name | ARC Member 1 Institute | ARC Member 1 Country | ARC Member 2 name | ARC Member 2 Institute | ARC Member 2 Country | ARC Member 3 name | ARC Member 3 Institute | ARC Member 3 Country | ARC Member 4 name | ARC Member 4 Institute | ARC Member 4 Country | ARC Member 5 name | ARC Member 5 Institute | ARC Member 5 Country | ARC Member 6 name | ARC Member 6 Institute | ARC Member 6 Country | ARC Member 7 name | ARC Member 7 Institute | ARC Member 7 Country | ARC Member 8 name | ARC Member 8 Institute | ARC Member 8 Country | ARC Member 9 name | ARC Member 9 Institute | ARC Member 9 Country | ARC Member 10 name | ARC Member 10 Institute | ARC Member 10 Country | ARC Member 11 name | ARC Member 11 Institute | ARC Member 11 Country | ARC Member 12 name | ARC Member 12 Institute | ARC Member 12 Country | ARC Member 13 name | ARC Member 13 Institute | ARC Member 13 Country | ARC Member 14 name | ARC Member 14 Institute | ARC Member 14 Country | ARC Member 15 name | ARC Member 15 Institute | ARC Member 15 Country | Total # of ARC Members | Total # of ARC Members from USA  | AN 1 # | AN 1 Submitter | AN 1 Submitter Institute | AN 1 Submitter Country | AN 2 # | AN 2 Submitter | AN 2 Submitter Institute | AN 2 Submitter Country | AN 3 # | AN 3 Submitter | AN 3 Submitter Institute | AN 3 Submitter Country | AN 4 # | AN 4 Submitter | AN 4 Submitter Institute | AN 4 Submitter Country | AN 5 # | AN 5 Submitter | AN 5 Submitter Institute | AN 5 Submitter Country | AN 6 # | AN 6 Submitter | AN 6 Submitter Institute | AN 6 Submitter Country | AN 7 # | AN 7 Submitter | AN 7 Submitter Institute | AN 7 Submitter Country | AN 8 # | AN 8 Submitter | AN 8 Submitter Institute | AN 8 Submitter Country | AN 9 # | AN 9 Submitter | AN 9 Submitter Institute | AN 9 Submitter Country | AN 10 # | AN 10 Submitter | AN 10 Submitter Institute | AN 10 Submitter Country | AN 11 # | AN 11 Submitter | AN 11 Submitter Institute | AN 11 Submitter Country | AN 12 # | AN 12 Submitter | AN 12 Submitter Institute | AN 12 Submitter Country | AN 13 # | AN 13 Submitter | AN 13 Submitter Institute | AN 13 Submitter Country | AN 14 # | AN 14 Submitter | AN 14 Submitter Institute | AN 14 Submitter Country | AN 15 # | AN 15 Submitter | AN 15 Submitter Institute | AN 15 Submitter Country | Total # of AN | Total # of AN Submitters from US
B2G-12-001 | Free | Run1 | Search for t&#039; pair production in the dilepton channel
 | <div style="background-color:#FFDFBF;width:100%">Free</div> | Yanjun Tu | UCSD | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0
B2G-12-002 | PAS-only-PUB | Run1 | Search for baryon-number violating top decays into 2 jets and 1 lepton
 | <div style="background-color:#E6DBFF;width:100%">PAS-only-PUB</div> | Giacomo Bruno | LOUVAIN | Belgium | Jorgen D&#039;Hondt | BRUSSEL-VUB | Belgium | Jorgen D&#039;Hondt | BRUSSEL-VUB | Belgium | John Paul Chou | RUTGERS | USA | Giovanni Organtini | ROMA-1 | Italy | Andrea Rizzi | PISA | Italy |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 1 | CMS AN-2011/511 | Bruno Giacomo | LOUVAIN | Belgium |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 0
B2G-12-003 | PAS-only-PUB | Run1 | Search for a heavy partner of the top quark with charge 5/3
 | <div style="background-color:#E6DBFF;width:100%">PAS-only-PUB</div> | Tulika Bose | BOSTON-UNIV | USA | Sridhara Rao Dasu | WISCONSIN | USA | Sridhara Rao Dasu | WISCONSIN | USA | Kai-Feng Chen | TAIPEI-NTU | Taiwan | Victor Eduardo Bazterra | CHICAGO | USA | Avraham Yagil | UCSD | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 3 | CMS AN-2011/419 | Bose Tulika | BOSTON-UNIV | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-004 | PUB | Run1 | Search for b&#039; pair production in the lepton + jets channel
 | <div style="background-color:#1FCB4A;width:100%">PUB</div> | Andrey Ivanov | KANSAS-STATE | USA | Andrea Giammanco | LOUVAIN | Belgium | Giovanni Abbiendi | BOLOGNA | Italy | Daniele Benedetti | PURDUE | USA | Andrea Giammanco | LOUVAIN | Belgium | Isabell Alissandra Melzer Pellmann | DESY | Germany | Daniel Marlow | PRINCETON | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 5 | 2 | CMS AN-2011/454 | Khalil Sadia | KANSAS-UNIV | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-005 | PAS-only-PUB | Run1 | Search for ttbar resonances in boosted all-hadronic final state
 | <div style="background-color:#E6DBFF;width:100%">PAS-only-PUB</div> | Justin Robert Pilot | UCDAVIS | USA | Vyacheslav Krutelyov | UCSB | USA | Vyacheslav Krutelyov | UCSB | USA | Robert Clare | UCRIVERSIDE | USA | Roberto Covarelli | ROCHESTER | USA | Robert Bainbridge | LONDON-IC | UnitedKingdom |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 3 | CMS AN-2012/179 | Pilot Justin | UCDAVIS | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-006 | PAS-only-PUB | Run1 | Search for ttbar resonances in semileptonic final state
