 Analysis code | AN Notes | # Authors | # Authors from USA | Institutes | # Institutes | # Insitutes from USA
HIG-15-002 | CMS AN-2015/183 | 15 | 4 | FLORIDA-UNIV, ANTWERPEN, NORTHEASTERN, KARLSRUHE-IEKP, CERN, ZURICH-ETH, TORINO, UCSD, BEIJING-IHEP, #not_found# | 10 | 3
HIG-15-003 | CMS AN-2015/299, CMS AN-2015/300 | 36 | 4 | KYUNGPOOK, ANTWERPEN, CHANDIGARH, SANTANDER, NORTHEASTERN, FIRENZE, KANSAS-UNIV, NEBRASKA, DELHI-UNIV, OVIEDO, ZURICH-ETH, #not_found# | 12 | 3
HIG-15-004 | CMS AN-2015/277 | 2 | 1 | FLORIDA-UNIV, POLYTECHNIQUE | 2 | 1
HIG-15-005 | CMS AN-2016/023, CMS AN-2015/125 | 4 | 0 | #not_found#, SACLAY | 2 | 0
HIG-15-006 | CMS AN-2015/168 | 18 | 8 | FLORIDA-UNIV, PRINCETON, CERN, ZURICH-ETH, PEKING-UNIV, ZURICH-UNIV, PISA, FERMILAB | 8 | 3
HIG-15-007 | CMS AN-2016/027 | 24 | 5 | WISCONSIN, KARLSRUHE-IEKP, CERN, HEPHY, ZURICH-UNIV, FLORIDA-TECH, TALLINN, #not_found#, DESY | 9 | 2
HIG-15-008 | CMS AN-2015/321 | 1 | 0 | #not_found# | 1 | 0
HIG-15-009 | CMS AN-2014/209 | 3 | 0 | MOSCOW-ITEP, MOSCOW-MSU, LONDON-IC | 3 | 0
HIG-15-010 | CMS AN-2015/069 | 64 | 7 | KYUNGPOOK, OVIEDO, SKK-UNIV, ROMA-1, SANTANDER, NORTHEASTERN, CALTECH, KANGWON, SEOUL-UNIV, PURDUE, RAL, FIRENZE, CHANDIGARH, BRUXELLES-ULB, KANSAS-UNIV, ANTWERPEN, CERN, ZURICH-ETH, MILANO-BICOCCA, UCSD, TIFR-B, #not_found# | 22 | 5
HIG-15-011 | CMS AN-2015/124 | 3 | 3 | BRUXELLES-ULB, WISCONSIN, KANSAS-STATE | 3 | 2
HIG-15-012 | CMS AN-2014/206, CMS AN-2013/222, CMS AN-2013/333, CMS AN-2014/243 | 58 | 31 | FLORIDA-UNIV, NORTHWESTERN, PROTVINO, UCSB, DESY, PURDUE, CERN, BRUXELLES-ULB, NORTHEASTERN, LONDON-IC, MIT, NEBRASKA, TEXAS-TAMU, BRISTOL, BEIJING-IHEP, #not_found#, FERMILAB, PADOVA | 18 | 9
HIG-15-013 | CMS AN-2015/006 | 3 | 0 | TALLINN, TIFR-B | 2 | 0
HIG-16-001 | CMS AN-2015/208 | 11 | 1 | BRUXELLES-ULB, LOUVAIN, FERMILAB, DELHI-UNIV | 4 | 1
HIG-16-002 | CMS AN-2015/108 | 5 | 3 | FLORIDA-UNIV, ZURICH-UNIV, FERMILAB, PISA | 4 | 2
HIG-16-003 | CMS AN-2015/316 | 10 | 1 | ANTWERPEN, ZURICH-ETH, ATHENS-NTUA, PISA, ZURICH-UNIV, FERMILAB | 6 | 1
HIG-16-004 | CMS AN-2015/216 | 43 | 15 | KARLSRUHE-IEKP, CORNELL, ZURICH-ETH, DESY, OHIO-STATE, ZURICH-UNIV, AACHEN-3A, #not_found#, BEIJING-IHEP, NOTRE_DAME, FERMILAB, VIRGINIA-UNIV | 12 | 5
HIG-16-005 | CMS AN-2016/024 | 12 | 7 | CERN, HAMBURG-UNIV, NOTRE_DAME, WISCONSIN, PROTVINO | 5 | 2
HIG-16-006 | CMS AN-2016/045 | 17 | 3 | LONDON-IC, WISCONSIN, KARLSRUHE-IEKP, MILANO-BICOCCA, CERN, PRINCETON, ZURICH-UNIV, TALLINN, #not_found#, DESY | 10 | 2
HIG-16-007 | CMS AN-2015/253 | 20 | 6 | FLORIDA-UNIV, ROMA-1, WISCONSIN, KARLSRUHE-IEKP, CERN, BOLOGNA, TORINO, KANSAS-STATE, #not_found#, LOUVAIN, MIT | 11 | 4
HIG-16-008 | CMS AN-2015/322, CMS AN-2015/319 | 30 | 17 | WISCONSIN, PRINCETON, BRUXELLES-ULB, NORTHEASTERN, SUNY-BUFFALO, #not_found#, LOUVAIN, MIT, FERMILAB, DELHI-UNIV | 10 | 6
HIG-16-009 | CMS AN-2016/022 | 6 | 0 | CERN, LONDON-IC, #not_found#, BRISTOL | 4 | 0
HIG-16-010 | CMS AN-2016/021 | 3 | 0 | LOUVAIN, #not_found# | 2 | 0
HIG-16-011 | CMS AN-2015/280 | 4 | 0 | LOUVAIN | 1 | 0
HIG-16-012 | CMS AN-2015/315 | 7 | 0 | POLYTECHNIQUE, MILANO-BICOCCA | 2 | 0
HIG-16-013 | CMS AN-2016/006 | 7 | 0 | POLYTECHNIQUE, MILANO-BICOCCA | 2 | 0
HIG-16-014 | CMS AN-2014/215, CMS AN-2016/076 | 4 | 4 | NORTHWESTERN | 1 | 1
HIG-16-015 | CMS AN-2015/124, CMS AN-2014/266, CMS AN-2013/254 | 12 | 9 | WISCONSIN, UCDAVIS, BRUXELLES-ULB, FLORIDA-STATE, KOREA-UNIV, LOUVAIN, MARYLAND, KANSAS-STATE | 8 | 5
HIG-16-016 |  | 0 | 0 |  | 0 | 0
HIG-16-017 | CMS AN-2016/360, CMS AN-2016/090, CMS AN-2015/289, CMS AN-2016/335 | 23 | 10 | FLORIDA-UNIV, NORTHWESTERN, LONDON-IC, KARLSRUHE-IEKP, MOSCOW-MSU, MOSCOW-ITEP, DUBNA, #not_found# | 8 | 2
HIG-16-018 | CMS AN-2016/089 | 9 | 0 | CERN, MOSCOW-ITEP, DESY, BEIJING-IHEP | 4 | 0
HIG-16-019 | CMS AN-2016/065 | 7 | 1 | #not_found#, KARLSRUHE-IEKP, MIT | 3 | 1
HIG-16-020 | CMS AN-2016/209 | 1 | 0 | #not_found# | 1 | 0
HIG-16-021 | CMS AN-2016/172, CMS AN-2016/182, CMS AN-2016/198 | 108 | 11 | KYUNGPOOK, OVIEDO, ANTWERPEN, SANTANDER, CHANDIGARH, NORTHEASTERN, FIRENZE, KANSAS-UNIV, NEBRASKA, DELHI-UNIV, ZURICH-ETH, TAIPEI-NTU, #not_found# | 13 | 3
HIG-16-022 | CMS AN-2016/211 | 23 | 6 | STRASBOURG, CERN, NOTRE_DAME, VINCA, NEBRASKA, POLYTECHNIQUE, BEIJING-IHEP, BRUSSEL-VUB, PEKING-UNIV | 9 | 2
HIG-16-023 | CMS AN-2016/171 | 37 | 5 | KYUNGPOOK, OVIEDO, ANTWERPEN, SANTANDER, CHANDIGARH, NORTHEASTERN, FIRENZE, KANSAS-UNIV, NEBRASKA, JOHNS-HOPKINS, DELHI-UNIV, ZURICH-ETH, #not_found# | 13 | 4
HIG-16-024 | CMS AN-2016/177 | 5 | 0 | LOUVAIN | 1 | 0
HIG-16-025 | CMS AN-2016/149 | 8 | 0 | DESY, CERN, ZURICH-ETH, PISA, CHUNGLI-NCU, BEIJING-IHEP | 6 | 0
HIG-16-026 | CMS AN-2016/139, CMS AN-2015/202 | 10 | 0 | CERN, #not_found#, PADOVA | 3 | 0
HIG-16-027 | CMS AN-2016/208 | 4 | 2 | MIT, FERMILAB, #not_found# | 3 | 2
HIG-16-028 | CMS AN-2016/232 | 7 | 0 | POLYTECHNIQUE, MILANO-BICOCCA | 2 | 0
HIG-16-029 | CMS AN-2016/186 | 4 | 0 | #not_found# | 1 | 0
HIG-16-030 | CMS AN-2016/183, CMS AN-2015/077 | 6 | 0 | SEOUL-SNU, #not_found#, PAVIA | 3 | 0
HIG-16-031 | CMS AN-2016/194, CMS AN-2016/222 | 12 | 4 | #not_found#, NICOSIA-UNIV, MIT, MEXICO-PUEBLA, HELSINKI-HIP | 5 | 1
HIG-16-032 | CMS AN-2016/030 | 17 | 3 | LYON, ROMA-1, NORTHEASTERN, SACLAY, HEFEI-USTC, CHUNGLI-NCU, LOUVAIN, SAO_PAULO, #not_found#, POLYTECHNIQUE | 10 | 1
HIG-16-033 | CMS AN-2016/217 | 2 | 2 | FLORIDA-UNIV, JOHNS-HOPKINS | 2 | 2
