 Analysis code | AN Notes | # Authors | # Authors from USA | Institutes | # Institutes | # Insitutes from USA
B2G-12-001 |  | 0 | 0 |  | 0 | 0
B2G-12-002 | CMS AN-2011/511 | 3 | 0 | #not_found#, LOUVAIN | 2 | 0
B2G-12-003 | CMS AN-2011/419 | 10 | 4 | BOSTON-UNIV, BROWN-UNIV, #not_found#, TIFR-B, PADOVA | 5 | 2
B2G-12-004 | CMS AN-2011/454 | 7 | 4 | MOSCOW-NIKIET, UCDAVIS, ASRT-ENHEP, CORNELL, FLORIDA-STATE, #not_found#, KANSAS-STATE | 7 | 4
B2G-12-005 | CMS AN-2012/179 | 9 | 9 | CORNELL, RUTGERS, JOHNS-HOPKINS, UCDAVIS, SUNY-BUFFALO | 5 | 5
B2G-12-006 | CMS AN-2012/488, CMS AN-2012/277 | 15 | 4 | LYON, CHICAGO, HAMBURG-UNIV, FIRENZE, LOUVAIN, GENOVA, #not_found# | 7 | 1
B2G-12-007 | CMS AN-2012/420 | 3 | 3 | TIFR-B, SUNY-BUFFALO | 2 | 1
B2G-12-008 | CMS AN-2012/280 | 3 | 3 | CORNELL | 1 | 1
B2G-12-009 | CMS AN-2013/004, CMS AN-2015/180 | 10 | 8 | UCDAVIS, CERN, MOSCOW-MSU, SUNY-BUFFALO, RUTGERS, JOHNS-HOPKINS, BROWN-UNIV | 7 | 5
B2G-12-010 | CMS AN-2012/493 | 9 | 9 | FLORIDA-UNIV, PURDUE-CALUMET, BOSTON-UNIV, BROWN-UNIV | 4 | 4
B2G-12-011 |  | 0 | 0 |  | 0 | 0
B2G-12-012 | CMS AN-2012/491 | 5 | 5 | NORTHWESTERN, BROWN-UNIV, BOSTON-UNIV, TIFR-B | 4 | 3
B2G-12-013 | CMS AN-2013/362 | 5 | 3 | CORNELL, TAIPEI-NTU, #not_found#, UCDAVIS | 4 | 2
B2G-12-014 | CMS AN-2012/435 | 4 | 1 | TAIPEI-NTU, MIT, #not_found# | 3 | 1
B2G-12-015 | CMS AN-2013/028, CMS AN-2013/006 | 14 | 14 | NORTHWESTERN, LONDON-IC, PUERTO_RICO, BOSTON-UNIV, TIFR-B, BROWN-UNIV | 6 | 4
B2G-12-016 | CMS AN-2012/323, CMS AN-2015/018 | 15 | 6 | SOFIA-INRNE, MOSCOW-NIKIET, KANSAS-UNIV, ASRT-ENHEP, KANSAS-STATE, CARNEGIE-MELLON, TAIPEI-NTU, BRUSSEL-VUB, #not_found# | 9 | 3
B2G-12-017 | CMS AN-2013/076 | 17 | 9 | SOFIA-INRNE, MOSCOW-NIKIET, BROWN-UNIV, UCDAVIS, ASRT-ENHEP, #not_found#, CARNEGIE-MELLON, TAIPEI-NTU, DUBLIN-UCD, KANSAS-STATE, KANSAS-UNIV | 11 | 5
B2G-12-018 |  | 0 | 0 |  | 0 | 0
B2G-12-019 | CMS AN-2012/438 | 8 | 5 | MOSCOW-NIKIET, UCDAVIS, ASRT-ENHEP, ZAGREB-RUDJER, KANSAS-UNIV, RUTGERS, KANGWON, KANSAS-STATE | 8 | 4
B2G-12-020 | CMS AN-2013/106 | 5 | 1 | SKK-UNIV, WASHINGTON-CUA, TAIPEI-NTU, #not_found# | 4 | 1
B2G-12-021 | CMS AN-2012/142 | 7 | 1 | KANSAS-UNIV, TAIPEI-NTU, #not_found# | 3 | 1
B2G-12-022 | CMS AN-2013/013 | 5 | 3 | FLORIDA-UNIV, BOSTON-UNIV, OHIO-STATE, STRASBOURG | 4 | 3
B2G-12-023 | CMS AN-2013/018 | 3 | 0 | #not_found#, LOUVAIN | 2 | 0
B2G-12-024 | CMS AN-2012/468 | 7 | 4 | OHIO-STATE, BOSTON-UNIV, #not_found#, BRUSSEL-VUB | 4 | 2
B2G-12-025 | CMS AN-2014/144 | 3 | 0 | DEMOKRITOS, TAIPEI-NTU, #not_found# | 3 | 0
B2G-13-001 | CMS AN-2012/488, CMS AN-2012/277, CMS AN-2012/179, CMS AN-2013/146 | 47 | 26 | LYON, UCDAVIS, CHICAGO, CORNELL, HAMBURG-UNIV, FIRENZE, SUNY-BUFFALO, RUTGERS, JOHNS-HOPKINS, LOUVAIN, GENOVA, #not_found# | 12 | 6
B2G-13-002 | CMS AN-2014/030 | 7 | 0 | CHUNGLI-NCU, TAIPEI-NTU, HEPHY, #not_found# | 4 | 0
B2G-13-003 | CMS AN-2012/342, CMS AN-2012/257, CMS AN-2013/231 | 50 | 39 | FLORIDA-UNIV, DESY, PRINCETON, RUTGERS, RAL, CALTECH, #not_found# | 7 | 4
B2G-13-004 | CMS AN-2013/193 | 1 | 0 | BRUXELLES-ULB | 1 | 0
B2G-13-005 | CMS AN-2014/165 | 1 | 0 | #not_found# | 1 | 0
B2G-13-006 | CMS AN-2014/075 | 1 | 0 | #not_found# | 1 | 0
B2G-13-007 | CMS AN-2012/435, CMS AN-2014/159, CMS AN-2014/030 | 20 | 2 | CHUNGLI-NCU, TAIPEI-NTU, HEPHY, MIT, #not_found# | 5 | 1
B2G-13-008 | CMS AN-2014/035, CMS AN-2014/156, CMS AN-2013/397 | 21 | 12 | RUTGERS, UCDAVIS, CHICAGO, CORNELL, HAMBURG-UNIV, SUNY-BUFFALO, MADRID-UNIV, JOHNS-HOPKINS, #not_found# | 9 | 6
B2G-14-001 | CMS AN-2014/025 | 4 | 1 | KANSAS-UNIV, TAIPEI-NTU, #not_found# | 3 | 1
B2G-14-002 | CMS AN-2013/129 | 4 | 0 | HAMBURG-UNIV, #not_found# | 2 | 0
B2G-14-003 | CMS AN-2014/006 | 4 | 0 | BRUXELLES-ULB, ROMA-1, #not_found#, ZURICH-ETH | 4 | 0
B2G-14-004 | CMS AN-2014/039 | 2 | 0 | BRUXELLES-ULB, ZURICH-UNIV | 2 | 0
B2G-14-005 | CMS AN-2014/049, CMS AN-2014/103, CMS AN-2014/202, CMS AN-2013/415 | 17 | 5 | WASHINGTON-CUA, PEKING-UNIV, RUTGERS, JOHNS-HOPKINS, BEIJING-IHEP, BRUSSEL-VUB, #not_found# | 7 | 3
B2G-14-006 | CMS AN-2014/169 | 1 | 0 | LYON | 1 | 0
B2G-14-007 | CMS AN-2014/097 | 4 | 0 | LYON, #not_found#, LOUVAIN | 3 | 0
B2G-15-001 | CMS AN-2014/279 | 3 | 0 | #not_found#, STRASBOURG | 2 | 0
B2G-15-002 | CMS AN-2015/107 | 9 | 3 | HAMBURG-UNIV, MADRID-UNIV, #not_found#, CHICAGO | 4 | 1
B2G-15-003 | CMS AN-2015/122 | 1 | 0 | #not_found# | 1 | 0
B2G-15-004 | CMS AN-2015/150 | 7 | 4 | BOSTON-UNIV, MOSCOW-MSU, BROWN-UNIV | 3 | 2
B2G-15-005 | CMS AN-2015/120, CMS AN-2015/099 | 46 | 25 | NORTHWESTERN, UCDAVIS, CHICAGO, CERN, SANTANDER, BRUXELLES-ULB, NAPOLI, ZURICH-UNIV, #not_found#, HAMBURG-UNIV, SUNY-BUFFALO, MIT, FERMILAB, PADOVA | 14 | 6
B2G-15-006 | CMS AN-2015/148, CMS AN-2015/171, CMS AN-2016/210, CMS AN-2016/205 | 29 | 29 | BOSTON-UNIV, BROWN-UNIV | 2 | 2
B2G-15-007 | CMS AN-2015/078 | 27 | 18 | NORTHWESTERN, CERN, ZURICH-UNIV, #not_found#, MIT, FERMILAB, PADOVA | 7 | 3
B2G-15-008 | CMS AN-2015/134 | 5 | 0 | HAMBURG-UNIV | 1 | 0
B2G-16-001 | CMS AN-2015/307 | 5 | 0 | BRUXELLES-ULB, #not_found#, BEIJING-IHEP | 3 | 0
B2G-16-002 | CMS AN-2015/161 | 7 | 7 | BROWN-UNIV, PURDUE | 2 | 2
B2G-16-003 | CMS AN-2015/186 | 15 | 1 | CERN, TAIPEI-ASGC, ZURICH-UNIV, CHUNGLI-NCU, HEFEI-USTC, MARYLAND, PADOVA | 7 | 1
B2G-16-004 | CMS AN-2015/197 | 1 | 0 | #not_found# | 1 | 0
B2G-16-005 | CMS AN-2015/136 | 8 | 8 | KANSAS-UNIV | 1 | 1
B2G-16-006 | CMS AN-2015/088 | 3 | 1 | MOSCOW-NIKIET, KANSAS-STATE, ASRT-ENHEP | 3 | 1
B2G-16-007 | CMS AN-2016/042 | 1 | 0 | #not_found# | 1 | 0
B2G-16-008 | CMS AN-2016/189, CMS AN-2015/287, CMS AN-2015/265 | 25 | 8 | LYON, ZAGREB-RUDJER, PISA, CHUNGLI-NCU, KANSAS-UNIV, RUTGERS, JOHNS-HOPKINS, DELHI-UNIV, SAO_PAULO, #not_found#, FERMILAB | 11 | 4
B2G-16-009 | CMS AN-2015/173 | 4 | 3 | PEKING-UNIV, RUTGERS, JOHNS-HOPKINS | 3 | 2
B2G-16-010 | CMS AN-2016/117, CMS AN-2016/068 | 7 | 0 | CERN, MADRID-UNIV, #not_found#, SAO_PAULO, ZURICH-UNIV | 5 | 0
B2G-16-011 | CMS AN-2015/327 | 6 | 0 | HAMBURG-UNIV | 1 | 0
B2G-16-012 | CMS AN-2015/129 | 1 | 1 | RUTGERS | 1 | 1
B2G-16-013 | CMS AN-2016/019 | 3 | 0 | HAMBURG-UNIV | 1 | 0
B2G-16-014 | CMS AN-2015/220 | 1 | 0 | #not_found# | 1 | 0
B2G-16-015 | CMS AN-2016/266 | 1 | 0 | #not_found# | 1 | 0
B2G-16-016 | CMS AN-2016/315 | 10 | 7 | RUTGERS, JOHNS-HOPKINS, BOSTON-UNIV, MOSCOW-MSU, BROWN-UNIV | 5 | 4
B2G-16-017 | CMS AN-2016/246 | 7 | 4 | BOSTON-UNIV, MOSCOW-MSU, BROWN-UNIV | 3 | 2
B2G-16-018 | CMS AN-2016/255 | 9 | 2 | HAMBURG-UNIV, MADRID-UNIV, #not_found#, CHICAGO | 4 | 1
B2G-16-019 | CMS AN-2016/242 | 7 | 7 | BOSTON-UNIV, BROWN-UNIV | 2 | 2
B2G-16-020 | CMS AN-2016/223 | 1 | 0 | #not_found# | 1 | 0
B2G-16-021 | CMS AN-2016/235 | 2 | 0 | ZURICH-UNIV | 1 | 0
B2G-16-022 | CMS AN-2016/252, CMS AN-2016/206 | 58 | 19 | FLORIDA-UNIV, UCLA, BEIJING-THU, WISCONSIN, CARNEGIE-MELLON, CERN, LYON, TORINO, ZURICH-UNIV, SPLIT-UNIV, PURDUE-CALUMET, #not_found#, JOHNS-HOPKINS, POLYTECHNIQUE, SAO_PAULO, BEIJING-IHEP, SPLIT-FESB, KOLKATA-SAHA, VIRGINIA-UNIV, PADOVA | 20 | 7
B2G-16-023 | CMS AN-2015/317, CMS AN-2016/352 | 13 | 11 | CARNEGIE-MELLON, BEIJING-IHEP, BEIJING-THU, PURDUE-CALUMET, VIRGINIA-UNIV | 5 | 3
B2G-16-024 | CMS AN-2015/161, CMS AN-2016/343, CMS AN-2015/327 | 18 | 10 | HAMBURG-UNIV, BROWN-UNIV, PURDUE | 3 | 2
B2G-16-025 | CMS AN-2016/347 | 3 | 0 | TAIPEI-NTU, BEIJING-IHEP | 2 | 0
B2G-16-026 | CMS AN-2016/300 | 19 | 7 | LYON, COLORADO, PEKING-UNIV, TAIPEI-ASGC, PISA, CHUNGLI-NCU, KANSAS-UNIV, RUTGERS, JOHNS-HOPKINS, FERMILAB | 10 | 5
B2G-16-027 | CMS AN-2016/058 | 5 | 0 | HAMBURG-UNIV, #not_found# | 2 | 0
B2G-16-028 |  | 0 | 0 |  | 0 | 0
B2G-16-029 | CMS AN-2016/440, CMS AN-2016/262 | 5 | 1 | CERN, #not_found#, UCLA | 3 | 1
B2G-17-001 | CMS AN-2016/398 | 6 | 0 | CERN, #not_found#, ZURICH-UNIV, KARLSRUHE-IEKP | 4 | 0
B2G-17-002 | CMS AN-2016/377 | 11 | 5 | COLORADO, CERN, ZURICH-UNIV, RUTGERS, JOHNS-HOPKINS, FERMILAB | 6 | 4
B2G-17-003 | CMS AN-2016/361 | 13 | 7 | SOFIA-INRNE, MOSCOW-NIKIET, CARNEGIE-MELLON, BEIJING-IHEP, TAIPEI-NTU, BROWN-UNIV, KANSAS-STATE | 7 | 3
B2G-17-004 | CMS AN-2016/376 | 1 | 0 | #not_found# | 1 | 0
B2G-17-005 | CMS AN-2016/429 | 7 | 0 | #not_found#, PADOVA | 2 | 0
B2G-17-006 | CMS AN-2016/375 | 6 | 0 | CERN, ZURICH-UNIV, BEIJING-IHEP | 3 | 0
B2G-17-007 | CMS AN-2016/452 | 3 | 0 | #not_found#, BEIJING-IHEP | 2 | 0
B2G-17-008 | CMS AN-2016/484 | 6 | 6 | BROWN-UNIV, BOSTON-UNIV | 2 | 2
B2G-17-009 |  | 0 | 0 |  | 0 | 0
B2G-17-010 | CMS AN-2016/480 | 6 | 3 | BOSTON-UNIV, MOSCOW-MSU, BROWN-UNIV | 3 | 2
B2G-17-011 | CMS AN-2016/302, CMS AN-2016/496 | 17 | 17 | BROWN-UNIV, BOSTON-UNIV, PURDUE | 3 | 3
B2G-17-012 | CMS AN-2015/252 | 5 | 5 | MOSCOW-NIKIET, KANSAS-UNIV, ASRT-ENHEP, KANSAS-STATE, CARNEGIE-MELLON | 5 | 3
BPH-07-001 | CMS AN-2007/024 | 3 | 0 | ZURICH-ETH, PSI, #not_found# | 3 | 0
BPH-07-002 | CMS AN-2007/023 | 6 | 1 | #not_found#, VANDERBILT, PISA | 3 | 1
BPH-07-003 | CMS AN-2007/042 | 1 | 0 | PISA | 1 | 0
BPH-07-004 | CMS AN-2007/043 | 2 | 0 | #not_found# | 1 | 0
BPH-08-001 |  | 0 | 0 |  | 0 | 0
BPH-08-002 |  | 0 | 0 |  | 0 | 0
BPH-08-003 |  | 0 | 0 |  | 0 | 0
BPH-08-004 |  | 0 | 0 |  | 0 | 0
BPH-08-005 |  | 0 | 0 |  | 0 | 0
BPH-08-006 |  | 0 | 0 |  | 0 | 0
BPH-08-007 |  | 0 | 0 |  | 0 | 0
BPH-08-008 |  | 0 | 0 |  | 0 | 0
BPH-08-009 |  | 0 | 0 |  | 0 | 0
BPH-08-010 |  | 0 | 0 |  | 0 | 0
BPH-08-011 |  | 0 | 0 |  | 0 | 0
BPH-09-001 | CMS AN-2009/079 | 2 | 2 | PRINCETON, PURDUE | 2 | 2
BPH-09-002 |  | 0 | 0 |  | 0 | 0
BPH-09-003 |  | 0 | 0 |  | 0 | 0
BPH-09-004 |  | 0 | 0 |  | 0 | 0
BPH-09-005 |  | 0 | 0 |  | 0 | 0
BPH-09-006 |  | 0 | 0 |  | 0 | 0
BPH-09-007 |  | 0 | 0 |  | 0 | 0
BPH-09-008 |  | 0 | 0 |  | 0 | 0
BPH-10-001 |  | 0 | 0 |  | 0 | 0
BPH-10-002 | CMS AN-2010/138, CMS AN-2010/158 | 60 | 43 | KARLSRUHE-IEKP, HAMBURG-UNIV, HEPHY, CARNEGIE-MELLON, CALTECH, LIP, LOUVAIN, BEIJING-IHEP, TAIPEI-NTU, MIT, SEOUL-UNIV, NORTHWESTERN, PURDUE, SUNY-BUFFALO, NEBRASKA, MARYLAND, FERMILAB, FLORIDA-UNIV, PRINCETON, JOHNS-HOPKINS, TEXAS-TAMU, PADOVA, CERN, NOTRE_DAME, TORINO, PISA, UCSB, TIFR-B, RICE | 29 | 16
BPH-10-003 | CMS AN-2010/140 | 1 | 0 | #not_found# | 1 | 0
BPH-10-004 | CMS AN-2010/152 | 2 | 1 | #not_found#, PRINCETON | 2 | 1
BPH-10-005 | CMS AN-2010/083 | 3 | 2 | MILANO-BICOCCA, TEXAS-TAMU, COLORADO | 3 | 2
BPH-10-006 |  | 0 | 0 |  | 0 | 0
BPH-10-007 | CMS AN-2010/182, CMS AN-2010/346, CMS AN-2010/171 | 22 | 2 | PSI, CERN, HAMBURG-UNIV, ZURICH-UNIV, KANSAS-UNIV, BOLOGNA, BARI, #not_found# | 8 | 1
BPH-10-008 | CMS AN-2010/452 | 2 | 1 | #not_found#, UCLA | 2 | 1
BPH-10-009 | CMS AN-2011/279, CMS AN-2010/174, CMS AN-2010/128 | 37 | 0 | AACHEN-3B, HEPHY, PISA, ATHENS, BOGAZICI, HELSINKI-UNIV, ZURICH-ETH, #not_found#, BANGALORE-IISC | 9 | 0
BPH-10-010 | CMS AN-2010/347 | 8 | 1 | CERN, ZURICH-ETH, FLORIDA-TECH, #not_found#, PISA | 5 | 1
BPH-10-011 | CMS AN-2011/091, CMS AN-2011/092, CMS AN-2011/087 | 6 | 2 | RAL, HEPHY, LIP, #not_found#, FERMILAB | 5 | 1
BPH-10-012 | CMS AN-2011/130 | 24 | 16 | NORTHWESTERN, KARLSRUHE-IEKP, CERN, NEBRASKA, CALTECH, UCSB, BEIJING-IHEP, #not_found#, MIT, FERMILAB, PADOVA | 11 | 6
BPH-10-013 | CMS AN-2010/453 | 3 | 1 | TENNESSEE, PISA, #not_found# | 3 | 1
BPH-10-014 | CMS AN-2011/098 | 6 | 0 | TAIPEI-NTU, TORINO, PISA, #not_found# | 4 | 0
BPH-10-015 | CMS AN-2011/059 | 8 | 1 | ZURICH-ETH, NICOSIA-UNIV, ROCHESTER, #not_found#, PADOVA | 5 | 1
BPH-10-016 | CMS AN-2012/147 | 6 | 1 | ZURICH-ETH, ROCHESTER, PADOVA | 3 | 1
BPH-10-017 |  | 0 | 0 |  | 0 | 0
BPH-10-018 | CMS AN-2011/010 | 15 | 5 | FLORIDA-UNIV, KYUNGPOOK, IOWA, DESY, CHICAGO, BOLOGNA, PEKING-UNIV, PISA, TEXAS-TAMU, BEIJING-IHEP, #not_found# | 11 | 4
BPH-10-019 | CMS AN-2011/230 | 3 | 2 | CERN, FLORIDA-TECH | 2 | 1
BPH-10-020 | CMS AN-2011/073 | 2 | 1 | NEBRASKA, #not_found# | 2 | 1
BPH-11-001 | CMS AN-2011/107 | 6 | 5 | LIP, TEXAS-TAMU, FERMILAB, PURDUE | 4 | 3
BPH-11-002 | CMS AN-2011/096 | 6 | 1 | ZURICH-ETH, NEBRASKA, PISA, PSI | 4 | 1
BPH-11-003 | CMS AN-2012/068 | 5 | 0 | #not_found#, MILANO-BICOCCA | 2 | 0
BPH-11-004 | CMS AN-2011/417 | 4 | 2 | FLORIDA-UNIV, CALTECH, #not_found# | 3 | 2
BPH-11-005 | CMS AN-2012/363 | 2 | 0 | #not_found# | 1 | 0
BPH-11-006 | CMS AN-2011/363 | 4 | 1 | MUMBAI-BARC, TENNESSEE, PISA, #not_found# | 4 | 1
BPH-11-007 | CMS AN-2011/434 | 3 | 3 | TEXAS-TAMU, COLORADO | 2 | 2
BPH-11-008 |  | 0 | 0 |  | 0 | 0
BPH-11-009 | CMS AN-2012/119 | 1 | 0 | #not_found# | 1 | 0
BPH-11-010 | CMS AN-2011/332 | 5 | 0 | HAMBURG-UNIV, #not_found# | 2 | 0
BPH-11-011 | CMS AN-2011/346 | 19 | 5 | KYUNGPOOK, FLORIDA-UNIV, IOWA, DESY, CHICAGO, BOLOGNA, PEKING-UNIV, PISA, BARI, TEXAS-TAMU, BEIJING-IHEP, ADANA-CUKUROVA, #not_found# | 13 | 4
BPH-11-012 | CMS AN-2011/130 | 24 | 16 | NORTHWESTERN, KARLSRUHE-IEKP, CERN, NEBRASKA, CALTECH, UCSB, BEIJING-IHEP, #not_found#, MIT, FERMILAB, PADOVA | 11 | 6
BPH-11-013 | CMS AN-2012/044, CMS AN-2011/073 | 4 | 2 | NEBRASKA, #not_found# | 2 | 1
BPH-11-014 | CMS AN-2011/535, CMS AN-2011/417 | 7 | 2 | FLORIDA-UNIV, CALTECH, LIP, #not_found# | 4 | 2
BPH-11-015 |  | 0 | 0 |  | 0 | 0
BPH-11-016 | CMS AN-2013/094 | 4 | 1 | TAIPEI-NTU, MIT | 2 | 1
BPH-11-017 | CMS AN-2011/209 | 1 | 0 | MILANO-BICOCCA | 1 | 0
BPH-11-018 | CMS AN-2011/241 | 3 | 3 | IOWA | 1 | 1
BPH-11-019 |  | 0 | 0 |  | 0 | 0
BPH-11-020 | CMS AN-2011/380 | 8 | 1 | PSI, #not_found#, NEBRASKA | 3 | 1
BPH-11-021 | CMS AN-2011/344, CMS AN-2011/417, CMS AN-2011/528, CMS AN-2012/222 | 23 | 15 | FLORIDA-UNIV, PRINCETON, PEKING-UNIV, TENNESSEE, FLORIDA-STATE, CALTECH, BEIJING-IHEP, MARYLAND, #not_found#, PADOVA | 10 | 6
BPH-11-022 | CMS AN-2011/279, CMS AN-2010/452 | 18 | 1 | UCLA, AACHEN-3B, PISA, ATHENS, BOGAZICI, HELSINKI-UNIV, ZURICH-ETH, #not_found#, BANGALORE-IISC | 9 | 1
BPH-11-023 | CMS AN-2012/140, CMS AN-2011/535, CMS AN-2011/417, CMS AN-2012/088 | 17 | 4 | FLORIDA-UNIV, ZURICH-ETH, HEPHY, CALTECH, LIP, BOLOGNA, #not_found# | 7 | 2
BPH-11-024 |  | 0 | 0 |  | 0 | 0
BPH-11-025 | CMS AN-2013/163 | 4 | 0 | BOLOGNA | 1 | 0
BPH-11-026 | CMS AN-2012/413, CMS AN-2013/176, CMS AN-2011/445 | 31 | 19 | IOWA, CERN, FLORIDA-STATE, SUNY-BUFFALO, BOGAZICI, CALTECH, BARI, #not_found#, FERMILAB | 9 | 5
BPH-12-001 | CMS AN-2012/042 | 1 | 0 | #not_found# | 1 | 0
BPH-12-002 |  | 0 | 0 |  | 0 | 0
BPH-12-003 |  | 0 | 0 |  | 0 | 0
BPH-12-004 |  | 0 | 0 |  | 0 | 0
BPH-12-005 | CMS AN-2012/238 | 9 | 0 | #not_found# | 1 | 0
BPH-12-006 | CMS AN-2012/088, CMS AN-2013/088 | 7 | 3 | BOLOGNA, CALTECH, LIP, #not_found#, CARNEGIE-MELLON | 5 | 2
BPH-12-007 | CMS AN-2012/296 | 1 | 1 | PUERTO_RICO | 1 | 1
BPH-12-008 |  | 0 | 0 |  | 0 | 0
BPH-12-009 |  | 0 | 0 |  | 0 | 0
BPH-12-010 | CMS AN-2013/009, CMS AN-2012/238 | 28 | 0 | #not_found# | 1 | 0
BPH-12-011 | CMS AN-2012/437 | 3 | 0 | MILANO-BICOCCA | 1 | 0
BPH-13-001 | CMS AN-2013/027, CMS AN-2014/132, CMS AN-2015/011, CMS AN-2014/131 | 9 | 0 | #not_found# | 1 | 0
BPH-13-002 | CMS AN-2012/450 | 8 | 0 | PEKING-UNIV, #not_found#, BEIJING-IHEP | 3 | 0
BPH-13-003 | CMS AN-2013/016, CMS AN-2011/535, CMS AN-2011/417, CMS AN-2012/088 | 17 | 4 | FLORIDA-UNIV, ZURICH-ETH, HEPHY, CALTECH, LIP, BOLOGNA, #not_found# | 7 | 2
BPH-13-004 | CMS AN-2013/216, CMS AN-2013/114, CMS AN-2013/009 | 33 | 3 | PURDUE, CERN, PISA, LIP, TEXAS-TAMU, TAIPEI-NTU, #not_found#, FERMILAB, PADOVA | 9 | 3
BPH-13-005 | CMS AN-2013/194 | 9 | 1 | CERN, HAMBURG-UNIV, TORINO, #not_found#, FERMILAB | 5 | 1
BPH-13-006 |  | 0 | 0 |  | 0 | 0
BPH-13-007 | CMS AN-2014/167 | 1 | 0 | #not_found# | 1 | 0
BPH-13-008 | CMS AN-2015/110, CMS AN-2014/286, CMS AN-2012/431, CMS AN-2016/336, CMS AN-2015/179 | 16 | 0 | PISA, MEXICO-CINVESTAV, LIP, #not_found#, MILANO-BICOCCA | 5 | 0
BPH-13-009 | CMS AN-2013/384 | 17 | 14 | IOWA, PURDUE, CERN, BOGAZICI, CALTECH, BEIJING-IHEP, FERMILAB | 7 | 4
BPH-13-010 | CMS AN-2014/129, CMS AN-2012/119 | 2 | 0 | #not_found# | 1 | 0
BPH-13-011 | CMS AN-2015/110 | 3 | 0 | MILANO-BICOCCA | 1 | 0
BPH-13-012 | CMS AN-2014/045, CMS AN-2014/065, CMS AN-2014/044, CMS AN-2011/363 | 9 | 1 | MUMBAI-BARC, PISA, TENNESSEE, HELSINKI-UNIV, #not_found#, PADOVA | 6 | 1
BPH-14-001 | CMS AN-2011/417, CMS AN-2012/088, CMS AN-2014/003 | 11 | 4 | FLORIDA-UNIV, BOLOGNA, PEKING-UNIV, HEPHY, CALTECH, LIP, #not_found# | 7 | 2
BPH-14-002 | CMS AN-2014/023 | 2 | 0 | #not_found# | 1 | 0
BPH-14-003 |  | 0 | 0 |  | 0 | 0
BPH-14-004 | CMS AN-2014/065 | 1 | 0 | PADOVA | 1 | 0
BPH-14-005 | CMS AN-2013/345 | 3 | 1 | MOSCOW-MSU, MIT | 2 | 1
BPH-14-006 | CMS AN-2013/099, CMS AN-2015/082, CMS AN-2016/015, CMS AN-2014/269 | 4 | 0 | #not_found# | 1 | 0
BPH-14-007 |  | 0 | 0 |  | 0 | 0
BPH-14-008 | CMS AN-2014/245 | 1 | 0 | #not_found# | 1 | 0
BPH-14-009 | CMS AN-2013/163 | 4 | 0 | BOLOGNA | 1 | 0
BPH-14-010 | CMS AN-2013/364 | 2 | 0 | PEKING-UNIV, BEIJING-IHEP | 2 | 0
BPH-15-001 | CMS AN-2014/244 | 11 | 2 | PEKING-UNIV, CALTECH, TAIPEI-NTU, NISER, PURDUE | 5 | 2
BPH-15-002 | CMS AN-2016/091, CMS AN-2015/047 | 8 | 0 | #not_found#, MEXICO-CINVESTAV | 2 | 0
BPH-15-003 | CMS AN-2015/032 | 2 | 2 | CARNEGIE-MELLON | 1 | 1
BPH-15-004 | CMS AN-2015/297, CMS AN-2015/302 | 9 | 7 | FLORIDA-UNIV, SKK-UNIV, PURDUE, MEPHI, BARI, TAIPEI-NTU, MIT | 7 | 3
BPH-15-005 | CMS AN-2015/297, CMS AN-2015/323, CMS AN-2015/176 | 17 | 1 | BARI, CARNEGIE-MELLON, TORINO, SACLAY, #not_found# | 5 | 1
BPH-15-006 |  | 0 | 0 |  | 0 | 0
BPH-15-007 | CMS AN-2015/030 | 1 | 0 | #not_found# | 1 | 0
BPH-15-008 | CMS AN-2015/225 | 5 | 0 | PEKING-UNIV, BEIJING-IHEP, PADOVA, MILANO-BICOCCA | 4 | 0
BPH-15-009 | CMS AN-2012/066 | 10 | 1 | MILANO-BICOCCA, PEKING-UNIV, CALTECH, NISER, TAIPEI-NTU, #not_found# | 6 | 1
BPH-16-001 | CMS AN-2016/018 | 3 | 3 | COLORADO | 1 | 1
BPH-16-002 | CMS AN-2016/239 | 8 | 0 | MEPHI, #not_found#, MEXICO-CINVESTAV | 3 | 0
BPH-16-003 | CMS AN-2015/330 | 4 | 0 | MEPHI | 1 | 0
BPH-16-004 | CMS AN-2016/178 | 5 | 0 | PSI, #not_found# | 2 | 0
BTV-07-001 | CMS AN-2007/046 | 9 | 3 | FLORIDA-TECH, BROWN-UNIV, ROCHESTER, #not_found#, STRASBOURG | 5 | 3
BTV-07-002 | CMS AN-2007/048 | 7 | 1 | FLORIDA-TECH, #not_found#, STRASBOURG | 3 | 1
BTV-07-003 | CMS AN-2007/047 | 4 | 0 | HAMBURG-UNIV, #not_found# | 2 | 0
BTV-09-001 | CMS AN-2009/085 | 9 | 1 | CERN, HAMBURG-UNIV, HEPHY, PISA, BROWN-UNIV, #not_found# | 6 | 1
BTV-09-002 | CMS AN-2009/105 | 2 | 2 | BROWN-UNIV | 1 | 1
BTV-10-001 | CMS AN-2010/147, CMS AN-2010/162, CMS AN-2010/148 | 11 | 4 | STRASBOURG, CORNELL, HAMBURG-UNIV, HEPHY, PISA, #not_found#, NEBRASKA, MIT, BANGALORE-IISC, VIRGINIA-UNIV | 10 | 4
